case,activity,startTime,user,issue_type,request_type,priority,assignee,security,project,ma
Case01-100,First assigned,2022-04-07 16:32:08.619,User_1,Query,ReqType_1,Medium,Assignee_1,Security_1,Project_1,M
Case01-100,Closed,2022-04-07 09:57:59.449,User_35,Query,ReqType_12,Medium,Assignee_1,Security_6,Project_1,M
Case01-100,Waiting validation,2022-04-06 10:43:56.117,User_3,Query,ReqType_12,Medium,Assignee_1,Security_6,Project_1,A
Case01-100,Resolved,2022-04-06 10:43:54.212,User_2,Query,ReqType_12,Medium,Assignee_1,Security_6,Project_1,M
Case01-100,In Progress,2022-04-06 10:43:52.090,User_2,Query,ReqType_12,Medium,Assignee_1,Security_6,Project_1,M
Case01-100,Open,2022-04-06 09:09:43.324,User_35,Query,ReqType_12,Medium,Assignee_1,Security_6,Project_1,M
Case01-1000,Change in request type,2022-06-22 11:20:30.088,User_2,Incident,ReqType_1,Low,Assignee_1,Security_1,Project_1,M
Case01-1000,First assigned,2022-06-06 16:47:44.606,User_2,Incident,ReqType_1,Low,Assignee_1,Security_1,Project_1,M
Case01-1000,Closed,2022-06-07 16:22:46.905,User_16,Incident,ReqType_20,Low,Assignee_1,Security_3,Project_1,M
Case01-1000,Waiting validation,2022-06-07 15:07:57.429,User_3,Incident,ReqType_20,Low,Assignee_1,Security_3,Project_1,A
Case01-1000,Resolved,2022-06-07 15:07:55.301,User_2,Incident,ReqType_20,Low,Assignee_1,Security_3,Project_1,M
Case01-1000,In Progress,2022-06-07 15:06:50.499,User_2,Incident,ReqType_20,Low,Assignee_1,Security_3,Project_1,M
Case01-1000,Waiting for user,2022-06-06 16:48:47.492,User_2,Incident,ReqType_20,Low,Assignee_1,Security_3,Project_1,M
Case01-1000,In Progress,2022-06-06 16:47:41.352,User_2,Incident,ReqType_20,Low,Assignee_1,Security_3,Project_1,M
Case01-1000,Open,2022-06-06 16:47:05.784,User_16,Incident,ReqType_20,Low,Assignee_1,Security_3,Project_1,M
Case01-1001,Change in person assigned,2022-06-07 11:07:42.582,User_5,Query,ReqType_2,Low,Assignee_2,Security_1,Project_2,M
Case01-1001,Change in person assigned,2022-06-07 13:07:55.361,User_4,Query,ReqType_2,Low,Assignee_2,Security_1,Project_2,M
Case01-1001,First assigned,2022-06-07 10:39:47.920,User_1,Query,ReqType_1,Low,Assignee_1,Security_1,Project_1,M
Case01-1001,Moved ticket,2022-06-06 17:30:16.016,User_3,Query,ReqType_1,Low,Assignee_1,Security_1,Project_1,M
Case01-1001,Closed,2022-09-08 11:53:56.913,User_3,Query,ReqType_4,Low,Assignee_5,Security_1,Project_1,A
Case01-1001,Waiting validation,2022-09-05 14:53:08.383,User_3,Query,ReqType_4,Low,Assignee_5,Security_1,Project_1,A
Case01-1001,Resolved,2022-09-05 14:53:06.500,User_14,Query,ReqType_4,Low,Assignee_5,Security_1,Project_1,M
Case01-1001,In Progress,2022-09-05 14:53:05.143,User_14,Query,ReqType_4,Low,Assignee_5,Security_1,Project_1,M
Case01-1001,Waiting for user,2022-06-07 14:04:10.719,User_14,Query,ReqType_4,Low,Assignee_5,Security_1,Project_1,M
Case01-1001,In Progress,2022-06-07 13:07:56.752,User_14,Query,ReqType_4,Low,Assignee_5,Security_1,Project_1,M
Case01-1001,Open,2022-06-07 11:07:44.128,User_2,Query,ReqType_4,Low,Assignee_5,Security_1,Project_1,M
Case01-1001,In Progress,2022-06-07 10:39:46.715,User_2,Query,ReqType_4,Low,Assignee_5,Security_1,Project_1,M
